"행정구역","2026년04월_총인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율"
"전국  (1000000000)","51,097,986","24,425,770","          2.09","25,423,432","25,674,554","          0.99"
"서울특별시  (1100000000)","9,298,673","4,521,744","          2.06","4,477,462","4,821,211","          0.93"
"부산광역시  (2600000000)","3,235,361","1,579,995","          2.05","1,571,952","1,663,409","          0.95"
"대구광역시  (2700000000)","2,349,360","1,119,078","          2.10","1,150,292","1,199,068","          0.96"
"인천광역시  (2800000000)","3,057,226","1,409,582","          2.17","1,526,524","1,530,702","          1.00"
"광주광역시  (2900000000)","1,386,567","660,819","          2.10","683,873","702,694","          0.97"
"대전광역시  (3000000000)","1,441,687","702,687","          2.05","718,049","723,638","          0.99"
"울산광역시  (3100000000)","1,088,041","500,873","          2.17","561,115","526,926","          1.06"
"세종특별자치시  (3600000000)","391,024","165,933","          2.36","194,741","196,283","          0.99"
"경기도  (4100000000)","13,751,098","6,158,763","          2.23","6,903,574","6,847,524","          1.01"
"강원특별자치도  (5100000000)","1,507,199","772,909","          1.95","758,166","749,033","          1.01"
"충청북도  (4300000000)","1,599,375","804,351","          1.99","815,479","783,896","          1.04"
"충청남도  (4400000000)","2,137,689","1,068,767","          2.00","1,098,060","1,039,629","          1.06"
"전북특별자치도  (5200000000)","1,720,203","872,176","          1.97","857,466","862,737","          0.99"
"전라남도  (4600000000)","1,775,031","914,877","          1.94","897,139","877,892","          1.02"
"경상북도  (4700000000)","2,498,364","1,301,136","          1.92","1,265,190","1,233,174","          1.03"
"경상남도  (4800000000)","3,197,859","1,555,329","          2.06","1,612,989","1,584,870","          1.02"
"제주특별자치도  (5000000000)","663,229","316,751","          2.09","331,361","331,868","          1.00"
